gioitinh;sothich;nganh;nguyennhan;dtbT;dtbVL;dtbHH;dtbTA;dtbNV;dtbLS;dtbDL;nguonthongtin;donoitieng;tgtimhieu
NAM;DU LỊCH, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;KHOA HỌC MÁY TÍNH;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET;4;4
NAM;ĐỌC SÁNH, PHIM ẢNH, THỜI TRANG, HỘI HỌA - MỸ THUẬT;KHOA HỌC MÁY TÍNH;NĂNG LỰC BẢN THÂN;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 8 -  DƯỚI 9;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;MẠNG XÃ HỘI;4;4
NAM;THỂ THAO, PHIM ẢNH, ÂM NHẠC;KHOA HỌC MÁY TÍNH;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET;4;3
NAM;DU LỊCH, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;KHOA HỌC MÁY TÍNH;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 9 - 10;INTERNET, MẠNG XÃ HỘI, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;3
NỮ;ĐỌC SÁNH, DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;CHÍNH TRỊ HỌC;SỞ THÍCH;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;INTERNET, MẠNG XÃ HỘI, TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN;3;5
NAM;THỂ THAO ĐIỆN TỬ, THỜI TRANG, HỘI HỌA - MỸ THUẬT;QUẢN TRỊ KINH DOANH;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN;5;4
NAM;ĐỌC SÁNH, THỜI TRANG, HỘI HỌA - MỸ THUẬT;QUẢN LÝ ĐẤT ĐAI;SỞ THÍCH;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;5;4
NAM;DU LỊCH, THỂ THAO ĐIỆN TỬ, ÂM NHẠC;CÔNG NGHỆ THÔNG TIN;NĂNG LỰC BẢN THÂN;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;3;3
NAM;ĐỌC SÁNH, DU LỊCH, THỂ THAO ĐIỆN TỬ, PHIM ẢNH;CÔNG NGHỆ THÔNG TIN;TƯ VẤN TỪ THẦY CÔ, BẠN BÈ;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, THẦY CÔ - BẠN BÈ;4;2
NỮ;ĐỌC SÁNH, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC, THỜI TRANG, HỘI HỌA - MỸ THUẬT;MẠNG MÁY TÍNH VÀ TRUYỀN THÔNG;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;INTERNET, MẠNG XÃ HỘI;3;4
NAM;DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ, PHIM ẢNH;MẠNG MÁY TÍNH VÀ TRUYỀN THÔNG;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;2;3
NỮ;ĐỌC SÁNH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;KỸ THUẬT PHẦN MỀM;NĂNG LỰC BẢN THÂN;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;3;4
NỮ;ĐỌC SÁNH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;KỸ THUẬT PHẦN MỀM;NĂNG LỰC BẢN THÂN;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;3;4
